Creating dir `./slack_dump_pdfs/` for slack dump PDFs
11  new PDFs loaded, skipped 0
         23862625 function calls (23302544 primitive calls) in 16.103 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      5/4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1254(__iter__)
    21629    0.018    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1263(__len__)
    21629    0.019    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1304(exec_module)
     5390    0.008    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
    10780    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      346    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
     4026    0.004    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
     2896    0.011    0.000    0.177    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
    11095    0.006    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2896    0.003    0.000    0.180    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1471(find_distributions)
      351    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
     4277    0.004    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     2792    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
     2775    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     3782    0.034    0.000    0.149    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      352    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
     3927    0.003    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      347    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
      350    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1665(_get_supported_file_loaders)
     3136    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
     5379    0.019    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     2784    0.004    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
